time,TrapeziusScapula_M,TrapeziusScapula_S,TrapeziusScapula_I,TrapeziusClavicle_S,SerratusAnterior_I,SerratusAnterior_M,SerratusAnterior_S,Rhomboideus_S,Rhomboideus_I,LevatorScapulae,Coracobrachialis,DeltoideusClavicle_A,DeltoideusScapula_P,DeltoideusScapula_M,LatissimusDorsi_S,LatissimusDorsi_M,LatissimusDorsi_I,PectoralisMajorClavicle_S,PectoralisMajorThorax_I,PectoralisMajorThorax_M,TeresMajor,Infraspinatus_I,Infraspinatus_S,PectoralisMinor,TeresMinor,Subscapularis_S,Subscapularis_M,Subscapularis_I,Supraspinatus_P,Supraspinatus_A,TRIlong,BIC_long,BIC_brevis,ground_thorax_rot_x,ground_thorax_rot_y,ground_thorax_rot_z,ground_thorax_tx,ground_thorax_ty,ground_thorax_tz,clav_prot,clav_elev,scapula_abduction,scapula_elevation,scapula_upward_rot,scapula_winging,plane_elv,shoulder_elv,axial_rot,elbow_flexion,pro_sup,Fx,Fy,Fz,Fgx,Fgy,Fgz,Fnx,Fny,Fnz,HCx,HCy,HCz,GC2GEx,GC2GEy,GC2GEz,H2GCCx,H2GCCy,H2GCCz
0,0.00758519723349183,0.0471411816467483,0.0352834941424115,0.0148703532586752,0.152080856016367,0.0773033146189115,4.93038065763132e-32,0,0,2.78439612348533e-15,2.52569779415259e-15,0.0127148488334536,0.00355450947705466,0.0376884907773869,0,0,9.24959978401696e-18,0,5.48362021853873e-17,2.28236604791331e-16,0,0,0,3.45025667374954e-16,0,0.00517415418830648,0.00596940607541759,0.00868030112454505,0.000135615233589104,0.00274383591683294,0,0.0268536293275238,0.0255422458144345,-1.94970622505509e-08,-0.00249325616378029,-0.157329526392685,-0.00160763596885259,2.65683585752864,-0.00196259778127923,0.0508266704212641,-0.00574347878980538,0.000136485507922816,-5.17917716866225e-05,0.000188395847691724,-1.38118289249492e-05,0.000267309606325477,-0.000156743448535478,1.65919764907451e-07,0.000457829745205251,0.000545253638992808,-158.696305067512,141.603126242826,-127.759605194985,-0.639621235159434,0.570727632702869,-0.514931689452591,-0.64225818849693,-0.766293750031778,0.0172715943351201,-0.762477723984372,-0.0899486651454892,-0.640731580356514,-0.0105494284943622,0.000483502330700721,0.00846047000295955,-0.0273787000244332,-0.00322983536849794,-0.0230070953982671
0.02,0.00835194955846548,0.0495800596533124,0.0351490899191266,0.0152419196510673,0.151099038002049,0.0769178556364417,5.02094679630367e-16,4.30818637173983e-16,9.67219890701154e-33,2.28298011522349e-15,2.18837301466698e-15,0.0120702720840981,0.00345759698092283,0.0373775983024217,1.35370172441724e-16,0,2.52828636471936e-17,1.059794598278e-18,8.40234078914444e-16,2.24724147048293e-16,1.99493090483246e-15,7.64460722892174e-16,3.52359697395406e-17,6.6866540713486e-16,1.58568293897614e-16,0.00543186681314628,0.00619685037466984,0.00960660125367435,0.000120301380058844,0.00284062111708467,7.28289027149778e-19,0.0267874153346046,0.0254221602104863,6.98114313833377e-09,-0.00345797390740185,-0.158128465017062,-0.00496367193084384,2.65789447164108,-0.00430946559849716,0.0506394521294028,-0.00570260074493074,1.28595870550574e-05,-4.88312100665764e-05,1.52884125220789e-05,6.04823957350059e-05,0.000352170670572774,-7.16772675081759e-05,-6.12383728595279e-08,0.000455246394886148,0.000568274428455208,-159.899057056619,140.131917065105,-128.650405977185,-0.643439571549098,0.563895887421012,-0.517693872780414,-0.636255675885599,-0.771256404292223,0.0185006416534806,-0.761754729108515,-0.0904399079663177,-0.641521905883078,-0.0105593050514759,0.000500118863640327,0.00844717270360559,-0.0273527390563909,-0.0032474746901562,-0.0230354740444003
0.04,0.00919433158782936,0.0521459793596944,0.035017984585617,0.0156865271593339,0.150365166714973,0.0769155945021728,7.03295209293265e-16,5.79284164959287e-16,0,1.71223508641762e-15,1.24485782693114e-14,0.0115604638303199,0.00334442424260803,0.0374460535774519,1.40830619297913e-15,0,1.89621477353951e-17,7.94845948708499e-19,6.30175559185833e-16,2.08331956877083e-16,1.60528828934767e-15,5.73671693364818e-16,2.64269773046554e-17,5.01499055351144e-16,9.98150000082887e-16,0.00582740584742979,0.0065807910689859,0.0099634816074827,9.02151807276002e-05,0.00298426722489204,1.39331751396822e-17,0.0265910755761446,0.0252814962345354,5.95708956367276e-08,-0.00534281674428743,-0.159176738267634,-0.0125695324520218,2.659889477535,-0.00864682919664168,0.0502102430432768,-0.00563635090194056,5.83894532002675e-05,-9.85279514621941e-05,8.115300560302e-05,-1.00845461093274e-05,0.000422387435939165,-0.00011422192477305,7.47707269311476e-08,0.000448901625541979,0.00060586089576318,-160.644322307008,139.767866427648,-129.42894079442,-0.644677171003407,0.560898458356704,-0.519407609301324,-0.633822967896273,-0.773248656059077,0.0188404158656804,-0.761059847182399,-0.0909146739827406,-0.642279091253417,-0.010568764026435,0.000516029441998314,0.00843437663973795,-0.02732778755524,-0.00326452237028713,-0.02306266270902
0.06,0.00991898774292204,0.0543867514178777,0.0347978201505324,0.0160860682308126,0.149845919145532,0.0770570352850675,5.27471406969948e-16,4.34463123719465e-16,1.74866648150254e-15,1.63128239390501e-15,9.46130294782867e-15,0.0111084814316136,0.00324713289035064,0.0375686357205899,1.05622964473435e-15,8.4674329075597e-20,2.84931303032526e-16,5.96134461531374e-19,4.72631669389374e-16,1.56659355838626e-16,1.20396621701075e-15,4.3036507729768e-16,7.72680178706475e-17,8.79877048610342e-16,1.71859345553141e-15,0.006180986364332,0.00692693258147907,0.0103102620421547,6.81978001133975e-05,0.00311235568179254,1.05027271377339e-17,0.026388779385564,0.0250802222682101,1.60131113818363e-07,-0.00704064365306239,-0.160240328611599,-0.0205434514109585,2.66154987384568,-0.0122740122352291,0.0497575625894573,-0.00556429008685415,0.00012561384845973,-8.50026519045609e-05,0.000164634551317747,-3.04958226292244e-05,0.000353967431890571,-0.000154163453746391,-1.5059421592333e-07,0.000443954302162531,0.00063965529539366,-161.314047431393,139.485120412971,-130.14720390001,-0.645687056348185,0.558313043643194,-0.52093643620147,-0.631748469982052,-0.774938121622525,0.0190991709633926,-0.760428052485392,-0.09135407301462,-0.642964703803337,-0.0105773329515717,0.000530427122894098,0.00842273372672589,-0.0273051013613457,-0.00328030010897565,-0.0230872813696665
0.08,0.010600626939556,0.0561457244681509,0.0345245685353164,0.0163906720086328,0.149514740931373,0.0773785733435996,3.95603555227461e-16,3.33182748089599e-16,1.3114998611269e-15,1.22346179542876e-15,7.09597721087143e-15,0.0107741577565503,0.00310976288968615,0.0377315091553853,9.79634301309326e-16,3.40131242340523e-18,2.13698477274318e-16,4.7815047199247e-17,3.5447375204203e-16,1.17494516878969e-16,9.0297466275806e-16,3.2277380797326e-16,1.03811907222922e-16,6.59907786457756e-16,1.28894509164855e-15,0.00656125178740113,0.00732089718050404,0.0104877923035457,5.11448618800929e-05,0.00322981241012744,7.87704535330042e-18,0.0261771659035896,0.0249161624816505,3.1694257832821e-07,-0.00840466585521262,-0.161179543176933,-0.0272399762652778,2.66276094702187,-0.0150415421210345,0.0493111180309984,-0.0055050923537532,8.69785400678044e-05,-7.6091766927582e-05,0.000111795246414943,2.13939307596037e-05,0.000415452242954507,-0.000138164189654546,6.09631718798649e-07,0.000435028404631518,0.000677516039463664,-161.855169320083,139.367077841677,-130.773885366512,-0.646273462396758,0.556480490053051,-0.52216862792782,-0.630338552181292,-0.776082974687478,0.0191970319119462,-0.759889558812133,-0.0917424803189833,-0.643545783696252,-0.0105846087062945,0.000542613876875736,0.00841281150672527,-0.0272857653777734,-0.00329424686012517,-0.0231081465196609
0.1,0.0100045461628948,0.0579112418827224,0.034152478434436,0.0169703904325813,0.149660935454064,0.0773298867248145,2.96702666420596e-16,5.20526822166222e-16,9.83624895845173e-16,1.27502816689874e-15,6.12544829940111e-15,0.0102968498286846,0.00348820187558298,0.0377525701193693,7.92688853249534e-16,9.57047371106926e-18,4.7341930697464e-14,3.58612853994353e-17,2.70575630671143e-16,9.0385920486888e-17,3.16553213157678e-15,2.43245812243316e-16,7.13106176003359e-16,4.94930839843317e-16,4.28159064483518e-15,0.0062800359916366,0.00688348878674613,0.0117340786918791,0.000113160610065928,0.0032953643182244,5.90778401497532e-18,0.0261261441093772,0.0242799557042397,-1.77493623822387e-07,-0.00939874679159969,-0.162024241107481,-0.0323905326936211,2.6635529984626,-0.0165910579133051,0.0489511092203108,-0.00538032018754093,0.000137520169295789,-0.000102825596063631,0.00018554558172721,5.32453533842247e-05,0.0006346959717591,-0.000223875260947706,2.38521330639458e-06,0.000472401269232171,0.000638642667991584,-162.748121610789,138.448582431959,-131.338061462893,-0.648895284875688,0.552010256392816,-0.52365979996868,-0.62641356394682,-0.779227295969544,0.0202698820775092,-0.759467785576496,-0.0920690229053462,-0.643996877083102,-0.010590282722493,0.000552054986342747,0.00840505299698663,-0.0272706205380835,-0.00330597220138566,-0.0231243441738783
0.12,0.0107230840753587,0.0587543738450124,0.0339618437591342,0.0171190669853896,0.14960572130459,0.0782342564430123,8.50158701592742e-16,6.26091676726607e-16,7.37718671883879e-16,9.56271125174054e-16,4.5940862245508e-15,0.0103736988636618,0.00318886913680875,0.0381292708458942,5.9451663993715e-16,1.55812264808045e-16,3.55064480230963e-14,2.68959640495764e-17,2.02931723003357e-16,4.50612883637851e-16,2.6619444077942e-15,4.37016564579172e-16,1.22350737681261e-15,3.71198129882487e-16,3.21119298362637e-15,0.00684781283944908,0.00755056527634755,0.0111693540110614,8.48608535686628e-05,0.00340066514557392,2.65682582331106e-16,0.0258281898949719,0.0242913023549483,2.310096208508e-07,-0.00990235112233744,-0.162632691265734,-0.0354732488530745,2.66381577477107,-0.0170235182816108,0.0484299801416975,-0.00535649600649865,0.00010135888619053,-8.22766606170163e-05,0.000131640274367376,2.71783465099144e-05,0.000463594292656162,-0.000159256287534577,9.95591331387278e-07,0.000447917846384042,0.000698765541967656,-162.791609159768,139.261071207321,-131.708702673662,-0.647335518393807,0.553767102539013,-0.523735355662922,-0.628259777743103,-0.777757860004642,0.0195541011347308,-0.75917816466521,-0.0923283933400783,-0.644301157905838,-0.0105941546737452,0.000558416810989983,0.00839975155265915,-0.0272602209633793,-0.00331528555586719,-0.0231352701499518
0.14,0.00966052054377521,0.0595606602824004,0.0336320081299865,0.0175608882771635,0.150222012641103,0.0781883881246453,9.3805399640606e-16,4.69568757544955e-16,5.56144189589725e-16,1.40175896231755e-15,4.78918093541677e-15,0.0100598342356153,0.00364781681741972,0.0380334416029559,4.65241363441287e-16,1.424852445432e-16,2.66697963552584e-14,1.54994884543825e-16,3.50643290904536e-16,3.52886576287468e-16,2.9272643686735e-15,3.27787898481931e-16,1.2182642620146e-15,4.01166520972566e-16,3.17562424338101e-15,0.00636802876674437,0.00689792261768579,0.0125052309328147,8.99759368012387e-05,0.00341165325798008,7.84895236158141e-16,0.025921453355549,0.0237355156511106,-3.93354322126135e-07,-0.00989986501519663,-0.162989873028491,-0.0363882298677811,2.66359314067875,-0.0163510617553582,0.0483456250063088,-0.00526655942041236,0.000106839925767615,-8.71473349851018e-05,0.000140760004730983,3.26195725372238e-05,0.000500748663305245,-0.000171574840413843,1.34824498634677e-06,0.000491595549503311,0.000639673515583061,-163.656828082839,138.139021264247,-132.063007464627,-0.650443664623327,0.549024762798871,-0.524876032016152,-0.623975295850165,-0.781165253540569,0.0208728730556477,-0.759027812689395,-0.0925209359078497,-0.644450662178796,-0.0105961350067092,0.000561585462965052,0.00839704194462618,-0.0272548221936652,-0.00332219928598562,-0.023140638480741
0.16,0.00991368879251976,0.0595083072423517,0.0334607677319529,0.01756172756395,0.150631501421109,0.0789319966280158,1.70840809945182e-15,6.65600859361776e-16,7.9541776323952e-16,1.05131922173816e-15,3.59188570156256e-15,0.0102045388685356,0.00346393545071413,0.0382317119536066,3.98333212529326e-16,1.15034846823318e-16,2.02072960738668e-14,1.16246163407869e-16,2.62982468178402e-16,2.64664932215601e-16,2.33181229154905e-15,2.45923696863366e-16,9.13698196510952e-16,4.08361602761782e-16,2.38171818253575e-15,0.00668695734493495,0.00727825950929007,0.0121610257172565,8.46166142037596e-05,0.00346385973185795,9.05004336527032e-16,0.025797328063057,0.0238091578183664,-1.52002889950455e-07,-0.00942018591371805,-0.163111063282516,-0.0352272687035461,2.66297261472735,-0.0146869288096292,0.0481533349557733,-0.00527662212176934,0.00013724339646436,-7.62594454809714e-05,0.000178305770294873,6.57792478048424e-05,0.000550566111595057,-0.000207502737359221,1.08388500939859e-06,0.000476276248840879,0.00067427392581919,-163.77676667881,138.525937350712,-132.232647549043,-0.649939851225747,0.549733206598206,-0.524758602932728,-0.624740928240148,-0.780559273694985,0.0206395937556086,-0.759015981880066,-0.0926520635961545,-0.644445757501757,-0.0105962379220046,0.000561666042841552,0.00839690668573986,-0.0272543973783959,-0.00332690775881055,-0.0231404623658498
0.18,0.00985498572867931,0.0591095840528139,0.0335512668308218,0.0176226488928432,0.150885076679281,0.0799394114016825,2.22712256391205e-15,6.04190733681451e-16,1.02119991547986e-15,7.88489416303621e-16,3.61221950692255e-15,0.0106808142122795,0.00322652096260461,0.0384110741756463,2.98749909396994e-16,9.01677050652897e-17,1.81105700124269e-14,8.71846225559018e-17,1.97236851133801e-16,1.98498699161701e-16,1.74885921866178e-15,1.84442772647524e-16,6.85273647383213e-16,3.45930919360237e-16,5.21158820405585e-15,0.00709849337526639,0.00777694582877353,0.01156130051183,8.78965358085435e-05,0.00352016242811902,6.78753252395273e-16,0.0256934727904966,0.0241234401666317,2.4093178466145e-07,-0.00852967469717273,-0.163035350741436,-0.0322471808792785,2.66207101260625,-0.0122332093996723,0.0480136231649169,-0.00533858845535507,0.000142598635970315,-7.88735220025319e-05,0.000186466997784001,6.94006128003975e-05,0.000573579779506791,-0.000216728740932087,1.26038840945734e-06,0.000457049769449715,0.000716444988934526,-163.789682627495,139.259382985442,-132.358068728188,-0.648760319343374,0.55159739202053,-0.524261733451559,-0.626546229059364,-0.779125198415449,0.0200934826642429,-0.759135125864771,-0.0927311368121519,-0.644294029883721,-0.0105945671137907,0.000558963864842471,0.00839919494961383,-0.0272586755458942,-0.00332974708354446,-0.0231350142002065
